商品名,価格,カテゴリ
きのことチキンのクリームシチューパイ,264,期間限定：パイ
ミートソースのラザニア風パイ,264,期間限定：パイ
つぶつぶコーンクリームパイ,264,期間限定：パイ
ブラックサンダーチョコレート,242,期間限定：ハロウィン
ブラックサンダー＆エンゼル,242,期間限定：ハロウィン
ブラックサンダーチョコファッション,242,期間限定：ハロウィン
ポン・デ・チョコデビル,209,期間限定：ハロウィン
さつまいもド しっとりスイートポテト,209,期間限定：秋のいもくり
さつまいもド とろり濃蜜いもソース,187,期間限定：秋のいもくり
さつまいもド 香ばしブリュレ,209,期間限定：秋のいもくり
くりド マロンホイップ＆ハニー,242,期間限定：秋のいもくり
くりド エンゼル＆マロン風味チョコ,242,期間限定：秋のいもくり
ニューホームカット ハニー,187,期間限定：ニューホームカット
ニューホームカット バタークランチ,209,期間限定：ニューホームカット
ニューホームカット メープル,198,期間限定：ニューホームカット
ニューホームカット あんバター,231,期間限定：ニューホームカット
ニューホームカット オリジナル,187,期間限定：ニューホームカット
ニューホームカット シナモン,187,期間限定：ニューホームカット
ザクもっちドッグ あらびきソーセージ,363,ザクもっち：惣菜系
ザクもっちドッグ 欧風カレー,319,ザクもっち：惣菜系
ザクもっちドッグ タマゴ,319,ザクもっち：惣菜系
ポン・デ・リング,176,定番：ポンデ系
ポン・デ・黒糖,176,定番：ポンデ系
ポン・デ・ストロベリー,187,定番：ポンデ系
オールドファッション,176,定番：ファッション系
チョコファッション,187,定番：ファッション系
オールドファッションハニー,187,定番：ファッション系
フレンチクルーラー,176,定番：クルーラー系
エンゼルフレンチ,187,定番：クルーラー系
ストロベリーカスタードフレンチ,187,定番：クルーラー系
ハニーディップ,176,定番：イースト系
シュガーレイズド,176,定番：イースト系
チョコリング,187,定番：イースト系
ストロベリーリング,187,定番：イースト系
カスタードクリーム,187,定番：イースト系
エンゼルクリーム,187,定番：イースト系
チョコレート,176,定番：チョコ系
ダブルチョコレート,187,定番：チョコ系
ゴールデンチョコレート,187,定番：チョコ系
ココナツチョコレート,187,定番：チョコ系
もっちりフルーツスティック ハニー,176,定番：スティック系
もっちりフルーツスティック シナモン,176,定番：スティック系
ハニーチュロ,176,定番：チュロ系
ドーナツポップ チョコファッションボール,46,定番：ドーナツポップ
ドーナツポップ エンゼルクリームボール,46,定番：ドーナツポップ
ドーナツポップ ポン・デ・ストロベリーボール,46,定番：ドーナツポップ
ドーナツポップ ゴールデンチョコレートボール,46,定番：ドーナツポップ
ドーナツポップ ココナツチョコレートボール,46,定番：ドーナツポップ
ドーナツポップ オールドファッションボール,46,定番：ドーナツポップ
ドーナツポップ 8個入り,319,定番：ドーナツポップ
ドーナツポップ 16個入り,607,定番：ドーナツポップ
ドーナツポップ 24個入り,895,定番：ドーナツポップ
しっとりマフィン バター風味,253,定番：マフィン
しっとりマフィン チョコ,253,定番：マフィン
エビグラタンパイ,253,定番：パイ
ホット・セイボリーパイ BBQフランクフルト,253,定番：パイ
ホット・スイーツパイ りんご,253,定番：パイ
ふかふか焼きドーナッツ プレーン［ミニサイズ］2個入り,451,定番：特定原材料不使用
